kepid,kepoi_name,koi_disposition,koi_period,koi_depth
3342970,K00800.01,CONFIRMED,2.711504086,837.5
3342970,K00800.02,CONFIRMED,7.21203748,950.4
12470844,K00790.01,CONFIRMED,8.47237911,1123.5
12470844,K00790.02,CONFIRMED,60.4189369,931.3
12644822,K00791.01,CONFIRMED,12.611904345,6105.6
2713049,K00794.01,CONFIRMED,2.539183147,382.1
3114167,K00795.01,CONFIRMED,6.770300385,1304.0
4139816,K00812.02,CONFIRMED,20.06036336,1494.7
4139816,K00812.03,CONFIRMED,46.1842039,1394.7
8395660,K00116.04,CONFIRMED,23.9800854,104.0
4139816,K00812.04,CONFIRMED,7.82502168,520.8
4275191,K00813.01,CONFIRMED,3.895936525,8544.8
4476123,K00814.01,CONFIRMED,22.36646466,986.8
3351888,K00801.01,CONFIRMED,1.625522174,7969.0
3641726,K00804.01,CONFIRMED,9.02930689,1019.8
3832474,K00806.01,CONFIRMED,143.2063047,10565.7
8395660,K00116.03,CONFIRMED,6.164876,55.8
3832474,K00806.02,CONFIRMED,60.32494216,20280.4
3832474,K00806.03,CONFIRMED,29.1598615,488.0
3935914,K00809.01,CONFIRMED,1.594745374,15044.5
3940418,K00810.01,CONFIRMED,4.783002698,1008.7
4049131,K00811.01,CONFIRMED,20.50588921,2105.5
4139816,K00812.01,CONFIRMED,3.340218842,1632.6
5358241,K00829.01,CONFIRMED,18.64932728,893.6
10875245,K00117.02,CONFIRMED,4.90144976,140.7
5358241,K00829.02,CONFIRMED,9.75192101,418.0
5358241,K00829.03,CONFIRMED,38.5576546,993.0
5358624,K00830.01,CONFIRMED,3.525632539,22335.0
4664847,K00816.01,CONFIRMED,7.748094239,2472.1
4725681,K00817.01,CONFIRMED,23.96793669,1182.3
4725681,K00817.02,CONFIRMED,8.29561738,824.3
4913852,K00818.01,CONFIRMED,8.11437482,1558.0
10875245,K00117.01,CONFIRMED,14.74914825,430.2
5021899,K00821.01,CONFIRMED,21.81295996,1175.4
5164255,K00824.01,CONFIRMED,15.37562369,15337.0
5252423,K00825.01,CONFIRMED,8.10363271,887.9
5252423,K00825.02,CONFIRMED,4.71510843,417.5
5272878,K00826.01,CONFIRMED,6.365839713,780.7
5651104,K00840.01,CONFIRMED,3.04033046,10858.8
5792202,K00841.01,CONFIRMED,15.33528675,3081.4
10875245,K00117.04,CONFIRMED,7.95825328,50.0
5792202,K00841.02,CONFIRMED,31.33046135,5073.8
5436502,K00834.01,CONFIRMED,23.65369415,3341.8
5436502,K00834.02,CONFIRMED,13.23352214,504.6
5436502,K00834.03,CONFIRMED,6.15560285,285.0
5436502,K00834.04,CONFIRMED,2.090811305,115.9
10875245,K00117.03,CONFIRMED,3.180027898,120.3
5436502,K00834.05,CONFIRMED,50.4467417,370.3
5456651,K00835.01,CONFIRMED,11.76307164,1037.3
5456651,K00835.02,CONFIRMED,56.2279271,862.7
5531576,K00837.01,CONFIRMED,7.953547,875.4
5531576,K00837.02,CONFIRMED,4.14451656,391.8
6291653,K00850.01,CONFIRMED,10.526294577,9768.0
6392727,K00851.01,CONFIRMED,4.583520948,3812.1
6422070,K00852.01,CONFIRMED,3.76181843,510.6
6428700,K00853.01,CONFIRMED,8.20396958,1024.4
6428700,K00853.02,CONFIRMED,14.49645186,647.5
5792202,K00841.03,CONFIRMED,6.54626149,655.9
5794379,K00842.01,CONFIRMED,12.71809866,1149.4
5794379,K00842.02,CONFIRMED,36.06588163,1563.8
5881688,K00843.01,CONFIRMED,4.190425659,2877.4
6022556,K00844.01,CONFIRMED,3.709870784,2020.3
6032497,K00845.01,CONFIRMED,16.3297527,1187.5
6061119,K00846.01,CONFIRMED,27.807566216,25391.1
6191521,K00847.01,CONFIRMED,80.8723469,3604.6
3531558,K00118.01,CONFIRMED,24.99324319,269.6
6276477,K00849.01,CONFIRMED,10.35533116,750.6
